batch,loss,size
1,13.599644,32
2,15.110714,32
3,14.607023,32
4,13.599644,32
5,14.607024,32
6,14.103333,32
7,14.607023,32
8,13.095953,32
9,13.599643,32
10,15.110714,32
11,15.614405,32
12,14.103333,32
13,14.103333,32
14,14.607023,32
15,16.118095,32
16,14.607024,32
17,14.607024,32
18,14.103333,32
19,14.103333,32
20,15.110714,32
21,13.095953,32
22,14.607023,32
23,14.103333,32
24,13.095953,32
25,13.599643,32
26,15.110714,32
27,15.614405,32
28,14.607024,32
29,13.599644,32
30,13.599644,32
31,14.103333,32
32,14.607024,32
33,15.614405,32
34,15.614405,32
35,14.607023,32
36,14.103333,32
37,14.103333,32
38,15.118336,32
39,15.110996,32
40,14.607023,32
41,12.592262,32
42,15.110714,32
43,14.607023,32
44,15.614405,32
45,16.118095,32
46,14.607023,32
47,13.599644,32
48,15.110714,32
49,15.614405,32
50,14.103333,32
51,14.103333,32
52,14.103333,32
53,14.522439,32
54,14.607023,32
55,15.614405,32
56,13.095953,32
57,14.607024,32
58,15.614405,32
59,14.607024,32
60,15.614405,32
61,16.118095,32
62,15.110714,32
63,15.614405,32
64,15.110714,32
65,12.088572,32
66,14.607023,32
67,14.103333,32
68,13.599644,32
69,13.599644,32
70,14.103333,32
71,15.110714,32
72,13.599644,32
73,15.110714,32
74,15.614405,32
75,15.110714,32
76,15.110714,32
77,15.614405,32
78,13.599644,32
79,14.103333,32
80,14.103333,32
81,15.614405,32
82,13.599644,32
83,14.103333,32
84,15.110714,32
85,15.614405,32
86,13.599644,32
87,14.607024,32
88,14.103333,32
89,14.607023,32
90,13.599643,32
91,14.103333,32
92,14.607023,32
93,15.614405,32
94,14.103333,32
95,15.614405,32
96,14.103333,32
97,14.607023,32
98,13.095953,32
99,14.607023,32
100,14.607024,32
101,14.103333,32
102,13.599643,32
103,14.895269,32
104,15.110714,32
105,14.103333,32
106,15.614405,32
107,14.103333,32
108,14.607023,32
109,14.607023,32
110,16.118095,32
111,15.614405,32
112,14.103333,32
113,16.118095,32
114,14.607023,32
115,12.088572,32
116,14.607023,32
117,12.62076,32
118,14.607023,32
119,14.103333,32
120,14.607023,32
121,13.460226,32
122,13.599644,32
123,14.103333,32
124,14.607023,32
125,15.614405,32
126,13.599643,32
127,14.607023,32
128,13.095973,32
129,15.110714,32
130,14.607024,32
131,15.614405,32
132,14.103333,32
133,15.110714,32
134,14.103333,32
135,13.599644,32
136,15.110714,32
137,15.110714,32
138,14.103333,32
139,15.614405,32
140,15.110714,32
141,14.607023,32
142,14.103333,32
143,14.607023,32
144,15.614405,32
145,15.110714,32
146,14.607023,32
147,13.599644,32
148,15.110714,32
149,14.607023,32
150,15.110714,32
151,15.614405,32
152,15.110714,32
153,14.607023,32
154,14.607024,32
155,14.103333,32
156,13.599644,32
157,15.110714,32
158,14.607023,32
159,13.599643,32
160,14.103333,32
161,15.614405,32
162,13.095953,32
163,15.110714,32
164,14.103333,32
165,15.110714,32
166,13.095953,32
167,15.614405,32
168,13.599643,32
169,15.614405,32
170,13.599643,32
171,14.103333,32
172,14.103333,32
173,13.095953,32
174,15.614405,32
175,13.599644,32
176,14.607023,32
177,15.614405,32
178,13.599644,32
179,14.103333,32
180,14.103333,32
181,13.599644,32
182,14.607023,32
183,13.095952,32
184,13.599643,32
185,13.762389,32
186,14.103333,32
187,12.088572,32
188,15.614405,32
189,15.110714,32
190,15.110714,32
191,15.614405,32
192,13.095953,32
193,14.103333,32
194,13.599644,32
195,14.103333,32
196,14.103333,32
197,15.110714,32
198,15.110714,32
199,16.118095,32
200,14.607024,32
201,14.103333,32
202,15.614405,32
203,15.614405,32
204,15.110714,32
205,16.118095,32
206,14.607024,32
207,15.110714,32
208,15.614405,32
209,16.118095,32
210,14.607023,32
211,15.110714,32
212,14.607023,32
213,14.103333,32
214,14.103333,32
215,15.614405,32
216,13.599643,32
217,15.110714,32
218,15.110714,32
219,16.118095,32
220,15.614405,32
221,14.103333,32
222,13.095953,32
223,14.607023,32
224,13.095953,32
225,13.599644,32
226,15.110714,32
227,15.110714,32
228,15.110714,32
229,14.607023,32
230,14.103333,32
231,15.614405,32
232,15.110714,32
233,13.095953,32
234,15.110714,32
235,13.095952,32
236,15.110714,32
237,14.607023,32
238,14.103333,32
239,16.118095,32
240,14.103333,32
241,13.599644,32
242,13.599644,32
243,14.607023,32
244,14.607023,32
245,14.607023,32
246,14.607024,32
247,13.599643,32
248,15.614405,32
249,14.103333,32
250,15.614405,32
251,14.103333,32
252,13.095953,32
253,15.614405,32
254,16.118095,32
255,13.095953,32
256,14.103333,32
257,14.607023,32
258,15.110714,32
259,15.110714,32
260,15.110714,32
261,15.110714,32
262,14.103333,32
263,15.614405,32
264,14.607024,32
